Designator,Mid X,Mid Y,Rotation,Layer
R3,121.92,-36.195,90.0,bottom
R30,107.379836,-62.23,0.0,top
R31,107.835,-67.095,180.0,bottom
R32,44.45,-45.085,0.0,bottom
R33,63.5,-51.435,0.0,top
R34,57.15,-43.18,180.0,bottom
R35,40.005,-55.245,270.0,top
R36,34.925,-58.42,0.0,top
R37,72.58,-62.23,0.0,top
R38,64.77,-61.595,180.0,top
R39,57.15,-61.595,0.0,top
R4,142.875,-37.465,90.0,bottom
R40,48.895,-61.595,0.0,top
R41,66.675,-36.195,180.0,top
R42,60.325,-43.18,180.0,bottom
R43,55.835,-67.095,180.0,bottom
R44,41.275,-61.595,0.0,top
R45,34.29,-61.595,0.0,top
R46,39.335,-67.095,180.0,bottom
R47,88.265,-60.96,0.0,top
R48,84.455,-68.58,180.0,bottom
R49,84.455,-60.96,0.0,bottom
R5,128.27,-36.195,90.0,top
R50,78.105,-62.23,0.0,bottom
R51,74.835,-67.095,0.0,bottom
R52,92.2,-45.72,0.0,bottom
R53,92.075,-44.45,180.0,bottom
R54,92.71,-56.515,90.0,bottom
R55,92.265,-53.975,0.0,bottom
R56,70.485,-51.435,270.0,bottom
R6,147.32,-37.465,90.0,bottom
R7,130.175,-36.195,90.0,top
R8,136.589836,-47.625,0.0,bottom
R9,132.589836,-47.625,0.0,bottom
U1,93.98,-43.18,225.0,top
U3,46.355,-37.465,270.0,top
U4,144.78,-57.785,0.0,top
U5,122.619836,-52.1366,180.0,top
U6,52.705,-52.0034,180.0,top
U7,92.71,-64.135,0.0,bottom
U8,84.455,-64.77,270.0,bottom
U9,77.47,-51.435,270.0,bottom
Y1,93.345,-32.385,180.0,top
