Designator,Mid X,Mid Y,Rotation,Layer
C1,139.065,-40.005,0.0,top
C10,62.23,-76.835,180.0,bottom
C11,33.02,-76.835,180.0,bottom
C12,47.625,-76.835,180.0,bottom
C13,86.995,-55.245,180.0,bottom
C14,144.92,-38.765,0.0,top
C15,144.92,-41.275,0.0,top
C16,144.92,-43.785,0.0,top
C17,144.92,-46.295,0.0,top
C18,66.04,-38.1,0.0,bottom
C19,98.425,-31.115,0.0,top
C2,146.05,-57.785,0.0,bottom
C20,93.98,-47.625,180.0,bottom
C21,95.885,-44.45,0.0,bottom
C22,88.9,-31.75,0.0,bottom
C23,99.899836,-58.915,270.0,bottom
C24,121.349836,-41.275,0.0,bottom
C25,103.569836,-59.055,270.0,bottom
C26,121.349836,-44.45,0.0,bottom
C27,129.744836,-40.64,0.0,bottom
C28,107.379836,-53.975,90.0,bottom
C29,134.684836,-44.45,180.0,bottom
C3,66.04,-36.195,0.0,bottom
C30,113.094836,-48.26,270.0,bottom
C31,134.369836,-50.165,180.0,bottom
C32,144.145,-80.01,270.0,bottom
C33,146.685,-80.01,270.0,bottom
C34,129.109836,-59.055,180.0,bottom
C35,125.934836,-59.055,0.0,bottom
C36,122.759836,-59.055,0.0,bottom
C37,119.584836,-59.055,0.0,bottom
C38,134.369836,-54.61,180.0,bottom
C39,116.269836,-59.055,0.0,bottom
C4,146.05,-60.325,180.0,bottom
C40,112.954836,-59.055,0.0,bottom
C41,134.684836,-59.055,180.0,bottom
C42,138.684836,-58.42,270.0,bottom
C43,125.794836,-44.45,180.0,bottom
C44,63.5,-48.895,180.0,top
C45,53.975,-43.18,0.0,bottom
C46,63.5,-53.975,180.0,top
C47,50.8,-43.18,0.0,bottom
C48,47.625,-43.18,180.0,bottom
C49,44.59,-43.18,0.0,bottom
C5,135.255,-76.835,0.0,bottom
C50,48.895,-79.375,270.0,top
C51,50.8,-79.375,270.0,top
C52,56.515,-59.055,180.0,bottom
C53,53.34,-59.055,0.0,bottom
C54,50.165,-59.055,0.0,bottom
C55,42.545,-55.245,90.0,top
C56,46.99,-59.055,0.0,bottom
C57,46.355,-79.375,270.0,top
C58,60.325,-41.91,0.0,top
C59,97.155,-59.69,90.0,bottom
C6,120.65,-76.835,180.0,bottom
C60,66.04,-40.005,0.0,bottom
C61,97.155,-62.23,0.0,top
C62,80.01,-64.77,90.0,bottom
C63,84.455,-58.42,90.0,bottom
C64,83.185,-48.26,180.0,top
C65,97.155,-56.515,90.0,bottom
C66,144.78,-28.42,90.0,bottom
C67,142.24,-28.42,90.0,bottom
C68,139.7,-28.4,90.0,bottom
C69,124.46,-28.575,90.0,bottom
C7,106.045,-76.835,180.0,bottom
C70,127.0,-28.575,90.0,bottom
C71,129.54,-28.575,90.0,bottom
C8,91.44,-76.835,180.0,bottom
C9,76.835,-76.835,0.0,bottom
D1,138.684836,-52.07,90.0,bottom
D2,92.71,-59.69,180.0,bottom
D3,147.955,-66.04,270.0,top
J1,39.37,-85.09,180.0,top
J2,107.315,-27.5475,180.0,bottom
J4,133.33,-32.41,90.0,top
J5,74.9,-41.3,90.0,top
J6,58.435,-32.36,270.0,top
J7,88.9,-85.09,180.0,top
J8,64.77,-85.09,180.0,top
J9,120.079836,-85.09,180.0,top
L1,145.034836,-52.705,180.0,bottom
PS1,77.455,-59.055,180.0,top
Q1,141.669836,-67.31,0.0,top
Q10,102.189836,-67.31,0.0,top
Q11,110.554836,-73.66,0.0,top
Q12,102.299836,-73.66,0.0,top
Q13,74.93,-66.675,0.0,top
Q14,67.10275,-66.675,0.0,top
Q15,74.7095,-73.66,0.0,top
Q16,66.88225,-73.66,0.0,top
Q17,58.84775,-66.675,0.0,top
Q18,50.48275,-66.675,0.0,top
Q19,58.42225,-73.535,0.0,top
Q2,134.319836,-67.31,0.0,top
Q20,50.26225,-73.66,0.0,top
Q21,42.22775,-66.675,0.0,top
Q22,34.08275,-66.675,0.0,top
Q23,42.23,-73.535,0.0,top
Q24,33.86225,-73.66,0.0,top
Q25,91.965,-66.675,0.0,top
Q26,84.13775,-66.675,0.0,top
Q27,91.965,-73.025,0.0,top
Q28,84.345,-73.025,0.0,top
Q3,141.669836,-73.66,0.0,top
Q4,134.319836,-73.66,0.0,top
Q5,126.429836,-67.31,0.0,top
Q6,118.699836,-67.31,0.0,top
Q7,126.539836,-73.66,0.0,top
Q8,118.699836,-73.66,0.0,top
Q9,110.554836,-67.31,0.0,top
R1,147.955,-71.12,0.0,top
R10,79.375,-44.45,180.0,bottom
R11,75.565,-38.1,0.0,bottom
R13,106.68,-27.305,0.0,top
R14,98.425,-34.29,0.0,top
R15,108.649836,-44.45,180.0,bottom
R16,112.459836,-44.45,180.0,bottom
R17,139.129836,-43.18,0.0,bottom
R18,130.239836,-44.45,270.0,bottom
R19,134.354836,-40.64,180.0,bottom
R2,140.97,-37.465,90.0,bottom
R20,111.824836,-54.61,270.0,top
R21,114.999836,-62.23,90.0,bottom
R22,137.859836,-62.23,180.0,top
R23,132.144836,-62.23,0.0,top
R24,126.619836,-62.23,180.0,top
R25,119.969836,-62.23,180.0,top
R26,116.269836,-44.45,0.0,bottom
R27,125.794836,-40.64,180.0,bottom
R28,128.334836,-66.675,180.0,bottom
R29,111.634836,-62.23,180.0,top
